group1,group2,meandiff,p-adj,lower,upper,reject
Advanced,Awareness,-0.6269,0.005,-1.1169,-0.1368,True
Advanced,Expert,0.494,0.1789,-0.1217,1.1096,False
Advanced,Intermediate,-0.365,0.3857,-0.9302,0.2003,False
Advanced,Novice,-0.3121,0.4746,-0.8386,0.2144,False
Awareness,Expert,1.1208,0.0,0.5199,1.7218,True
Awareness,Intermediate,0.2619,0.6794,-0.2873,0.8111,False
Awareness,Novice,0.3148,0.4309,-0.1944,0.824,False
Expert,Intermediate,-0.8589,0.0044,-1.5226,-0.1952,True
Expert,Novice,-0.806,0.0051,-1.437,-0.175,True
Intermediate,Novice,0.0529,0.9991,-0.529,0.6348,False
