LLM,Experience,Q1,Q2,Q3,Q4,Q5,,,
Adv_B,Intermediate,4,2,2,3,4,,Adv_B,Intermediate
Adv_D,Awareness,4,2,3,2,5,,Adv_D,Awareness
Adv_C,Awareness,2,4,3,2,2,,Adv_C,Novice
Adv_B,Awareness,2,1,3,1,1,,Adv_A,Advanced
Adv_B,Awareness,3,3,3,3,3,,,
Adv_D,Awareness,3,4,3,3,3,,,
Adv_B,Novice,2,3,1,3,1,,,
Adv_B,Awareness,3,3,2,2,2,,,
Adv_B,Awareness,4,4,3,1,4,,,
Adv_D,Awareness,4,1,3,4,1,,,
Adv_D,Awareness,2,2,2,2,1,,,
Adv_A,Awareness,4,5,4,5,5,,,
Adv_D,Novice,4,4,1,2,3,,,
Adv_C,Advanced,3,3,3,3,3,,,
Adv_D,Awareness,3,2,1,1,2,,,
Adv_D,Awareness,5,4,3,2,4,,,
Adv_B,Intermediate,3,1,1,3,1,,,
Adv_D,Awareness,3,2,2,2,4,,,
Adv_D,Awareness,3,3,2,4,2,,,
Adv_D,Novice,4,2,3,5,5,,,
Adv_D,Awareness,4,4,3,2,3,,,
Adv_D,Novice,4,2,4,4,2,,,
Adv_D,Novice,3,3,3,3,3,,,
Adv_D,Awareness,4,4,3,4,3,,,
Adv_D,Awareness,2,3,3,1,3,,,
Adv_D,Novice,3,3,2,2,1,,,
Adv_D,Awareness,3,3,4,2,2,,,
Adv_A,Novice,4,4,4,4,4,,,
Adv_D,Intermediate,4,3,1,5,2,,,
