Experience,Q1,Q2,Q3,Q4,Q5
Intermediate,4,2,2,3,4
Awareness,4,2,3,2,5
Awareness,2,4,3,2,2
Awareness,2,1,3,1,1
Awareness,3,3,3,3,3
Awareness,3,4,3,3,3
Novice,2,3,1,3,1
Awareness,3,3,2,2,2
Awareness,4,4,3,1,4
Awareness,4,1,3,4,1
Awareness,2,2,2,2,1
Awareness,4,5,4,5,5
Novice,4,4,1,2,3
Advanced,3,3,3,3,3
Awareness,3,2,1,1,2
Awareness,5,4,3,2,4
Intermediate,3,1,1,3,1
Awareness,3,2,2,2,4
Awareness,3,3,2,4,2
Novice,4,2,3,5,5
Awareness,4,4,3,2,3
Novice,4,2,4,4,2
Novice,3,3,3,3,3
Awareness,4,4,3,4,3
Awareness,2,3,3,1,3
Novice,3,3,2,2,1
Awareness,3,3,4,2,2
Novice,4,4,4,4,4
Intermediate,4,3,1,5,2
